,Links,Title,Price,Color
0,,,,
1,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2022-hyundai-santa-fe-7765062/,2022 Hyundai Santa Fe,"$46,139",Black
2,https://www.carpages.ca/new-cars/ontario/windsor/2022-hyundai-tucson-7764966/,2022 Hyundai Tucson,"$41,599",Titan Grey
3,https://www.carpages.ca/used-cars/ontario/guelph/2018-ford-fusion-7764879/,2018 Ford Fusion,"$24,888",Gray
4,https://www.carpages.ca/used-cars/ontario/guelph/2018-chevrolet-volt-7764870/,2018 Chevrolet Volt,"$24,995",Blue
5,https://www.carpages.ca/used-cars/british-columbia/langley/2020-toyota-corolla-7764732/,2020 Toyota Corolla,"$29,990",01K3
6,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7764684/,2022 Volvo XC60,"$70,965",Platinum Grey Metallic
7,https://www.carpages.ca/used-cars/ontario/kingston/2019-ford-fusion-7764636/,2019 Ford Fusion,"$24,901",Black
8,https://www.carpages.ca/new-cars/ontario/kingston/2021-ford-f-150-7764621/,2021 Ford F-150,"$64,309",RAPID RED MET TINTED CC
9,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-ford-f-150-7762350/,2021 Ford F-150,"$80,975",Oxford White
10,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-ford-escape-7762335/,2021 Ford Escape,"$42,604",Agate Black Metallic
11,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2019-tesla-model-3-7762251/,2019 Tesla Model 3,"$62,995",Red
12,https://www.carpages.ca/used-cars/alberta/calgary/2018-mitsubishi-outlander-7762227/,2018 Mitsubishi Outlander,"$29,995",Black
13,https://www.carpages.ca/used-cars/ontario/ancaster/2015-lexus-ct-200h-7761696/,2015 Lexus CT 200h,"$17,866",Black
14,https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-prius-7761663/,2022 Toyota Prius,"$33,077",Silver
15,https://www.carpages.ca/new-cars/ontario/ancaster/2021-toyota-venza-7761651/,2021 Toyota Venza,"$48,277",Dark Blue
16,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-lexus-ux-7761489/,2022 Lexus UX,"$48,095",Green
17,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-7761486/,2021 Lexus UX,"$47,645",White
18,https://www.carpages.ca/new-cars/alberta/edmonton/2021-land-rover-range-rover-7761132/,2021 Land Rover Range Rover,"$137,768",White
19,https://www.carpages.ca/new-cars/ontario/tilbury/2021-ford-f-150-7760193/,2021 Ford F-150,"$65,999",Grey
20,https://www.carpages.ca/new-cars/ontario/north-temiskaming-shores/2021-toyota-venza-7760181/,2021 Toyota Venza,"$50,758",Blizzard
21,https://www.carpages.ca/new-cars/ontario/chatham/2021-ford-f-150-7760124/,2021 Ford F-150,"$78,684",White
22,https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-7759176/,2022 Hyundai Tucson,"$39,099",Deep Sea Blue
23,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7758873/,2022 Volvo XC60,"$74,820",Platinum Grey Metallic
24,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7758870/,2022 Volvo XC60,"$71,930",Pine Grey Metallic
25,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7758867/,2022 Volvo XC60,"$53,835",Ice White
26,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7758864/,2022 Volvo XC60,"$64,770",SILVER DAWN METALLIC
27,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-7758855/,2022 Volvo XC60,"$85,920",Platinum Grey Metallic
28,https://www.carpages.ca/used-cars/ontario/nipigon/2019-ford-f-150-7758831/,2019 Ford F-150,"$52,160.50",Ingot Silver
29,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-250-7758696/,2022 Ford F-250,"$58,694",White
30,https://www.carpages.ca/used-cars/ontario/new-hamburg/2014-chrysler-200-7758570/,2014 Chrysler 200,"$12,499",Granite Crystal Metallic Clearcoat
31,https://www.carpages.ca/used-cars/ontario/ottawa/2019-ford-f-150-7758501/,2019 Ford F-150,"$46,117.25",Magnetic
32,https://www.carpages.ca/used-cars/ontario/ottawa/2019-ford-f-150-7758498/,2019 Ford F-150,"$46,117.25",Magnetic
33,https://www.carpages.ca/new-cars/ontario/ottawa/2021-ford-f-150-7758474/,2021 Ford F-150,"$52,219",Oxford White
34,https://www.carpages.ca/new-cars/ontario/ottawa/2021-ford-f-150-7758471/,2021 Ford F-150,"$68,124",Antimatter Blue Metallic
35,https://www.carpages.ca/new-cars/ontario/ottawa/2021-ford-f-150-7758453/,2021 Ford F-150,"$65,469",Space White Metallic
36,https://www.carpages.ca/new-cars/british-columbia/sechelt/2021-ford-escape-7758117/,2021 Ford Escape,"$49,194",Rapid Red Metallic Tinted Clearcoat
37,https://www.carpages.ca/used-cars/british-columbia/campbell-river/2020-honda-clarity-7758051/,2020 Honda Clarity,"$46,888",Grey
38,https://www.carpages.ca/used-cars/ontario/brampton/2021-tesla-model-y-7757349/,2021 Tesla Model Y,"$87,995",Pearl White Multi-Coat
39,https://www.carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-7757343/,2019 Tesla Model 3,"$58,495",Red Multi-Coat
40,https://www.carpages.ca/used-cars/ontario/cobourg/2020-lexus-rx-450h-7756770/,2020 Lexus RX 450h,"$55,940",Blue
