,Reviews
0,I really hate this update went ever I open my inbox it use to download something I don't what is it but it's taking 100MB in one min u thought my left over app r uptating so I check but nothing was updating so I opened my fb again n I opened my inbox n the same thing started so better fix it! Thanks...Full Review
1,The app is fine but the latest update seems to have hidden the shortcuts menu. Now when I press the 3 lines.in the right-hand corner I just get my profile or a log out option.
2,"I enjoy the Facebook lite, it doesn't use a lot of space. I usually go on line from tim3 to time. I have notice there's people to can believe lies that are spread very easy.."
3,"Some time my Facebook are lagging I don't what's problem of Facebook, Facebook please look what the problem and fix it to all Facebook Lite user please. Do this please . Thanks you."
4,Why i cannot view my menu and setting ..it is also 3days i cant view my menu and setting please secure your app because it so difficult if i can see the menu and setting.please facebook repair as soon as possible!!!!
5,"Facebook lite is sources and providing enlaces,eventos services, for business and corporate use, people connected, with others Facebook is the best link for your friends and family, you are looking for the best reseller faster and easier. Be able to look for people go to Facebook. Enjoy."
6,"Used to work, but with tall pictures cut off. Now it just doesn't work anymore. It won't move past the loading screen on Android Go."
7,This app will no longer open. It stays on the loading screen until my phone times out and the app closes. One year later and the problem returned...
8,This app is not responding. I have tried many times but result is same. I have uninstalled app and again install ed the app but app is not opening. Developer please fix this as soon as possible.
9,It is difficult locating who mentioned you in a comment if there are too many unlike the previous updates that will take you straight to the comment. Now the menu botton keeps loading without opening.
10,"This is the worst app i have downloaded.. so let me explain when i was about to open the app, the loading button keeps loading and loading, i wait for 15 minutes and its still loading. I reinstalled it and its still the same. Worse app 👎👎👎"
11,"This app is really a great one, but since the outrage, I've been trying to fix my facebook font but is still not working. Please how can i fix this bug? Don't like my texts bold"
12,Facebook lite is great of the normal facebook lite is good! But why i give (4) star's? I open the lite with email and its open i use it for 10 m.n then its says add your phone to continew. Why i can't to add my email and use?
13,"What is the problem with the app.Before 2 days it's all fine,but now it's the worst app ever. It's not working,not loading the page. Please fix it earlier as possible."
14,"yesterday (04 oct 2021) from 9:15 pm till 01:00 am (05 oct 2021), facebook is not responding, i think that may be there was some privacy threat to our personal data. not happy with this experience. not expecting this from facebook."
15,"❌ Main Drawback s 1. No screen rotation. 2. No option for 👉 Copying Text. Even if the size increases, These 2 Basic Features are Very Essential. Not much features."
16,"Having problems to put like or others emoji,its been. More than 5/6times I needed to uninstall it and re download because each time it does not open the loading is so slow that disgusting from a huge company as Facebook"
17,"The app is a good source of information and hook up with friends but for about twelve hours now, am unable to access my account eventhough i just updated it some couple of hours earlier before the twelve hours time frame."
18,"Respected Sir, With all due respect I want to tell that my Like, Love, Haha, & Sad reactions are not working. kindly see it as an urgent. My God, the service and responsibilities of Facebook towards their users are deteriorating day by day!!! Been a couple of days & sometimes my facebook (Lite) ain'...Full Review"
19,"Plz add an option to use authenticator app code for login, i am stuck because idk why after 9 years Facebook has declined to use recognize my rocketmail email id 🙄 now i cabt login to fb lite but k can in normal Facebook (because it has other options to let me in, which i mentioned in that fb app r...Full Review"
20,"I've been using this app for over years but right now I only wish not to give a star. It becomes useless, not easy to use, the app itself is like a broken ice cube."
21,Nice app for those who had less ram and want to experience Facebook full version with Facebook and Messager combine. It would be difficult to use Facebook original app along with messager so this app is nice
22,"Search function doesn't act normally. Everytime I want to search it always say ""it can't find the item i want to search""."
23,Menu section cannot be accessed from Burger Button anymore. After pressing it goes straight to Accounts section. Have become practically a useless app for me. I'm UNINSTALLING it now.
24,"The font section in settings where you can adjust the size of texts to small, medium and large is missing, put it back asap please. Thank you!"
25,Upload from picture gallery isn't working properly. Nothing happens on selecting a folder. FB apps have some of the most pathetic UX I've ever seen.. 💩
26,"After the last update it stays on the loading screen, back button won't work, I have to go to recent apps to close it. Uninstalled and reinstalled. Still won't boot."
27,Buggy. Wifi connection prevents it from loading properly. I always need to disconnect wifi and reconnect for it to load and function properly.
28,It works well ...but some times it create some problems like ..if I view one's Fb I'd and touch his dp and see his story then when I want to back it doesn't work...it works between his Profile and story
29,"I'm experiencing bug rn for almost a week, the same with my friend. It won't open when I'm using wifi but it opens when I use mobile data."
30,Facebook lite. now consumes alot of data And it takes God knows when for my Facebook to open I HV to constantly reboot my phone.. I HV not even used my Facebook for two days now.. What's happening??????????? No dark modes too.. My FB is still misbehaving..
31,"We all know Facebook gives us access to a wider voice to audience, what I like about it is that it works very fine and ads are shown as posts they don't appear just like other apps"
32,I will rate it one precent because it's not loading or working properly and it just shut down like that so I don't know if it have a problem or what I would have rate it five but I changed my mind because of this situation
33,I give 2 stars because u need too un-installed it again so it will open and I'm kinda dissapoint because sometimes if i will open it there will be just one blue dot and it will not open it takes for hours and please fix it before i sue this.
34,"Account confirmation image won't even load when making an account. On three bars of LTE+ and the app claims to work on ""any network conditions."""
35,very easy and fast to use. no bugs. better than the Facebook app. but i wonder where the text and display adjustment go?
36,I'm very mad it keeps saying check network connection. Clearly I'm connected to the internet. What is wrong with this and how long till it's fixed
37,"I can't open the app,it says please check your internet connection but my internet connection was strong,I also can open YouTube but i can't open this.Fix this!!!"
38,It was working good.But for the last couple of days whenever I try to login my Account it shows that no account is matching with my email/no.Though I had given the right one.
39,Crashing completely with Samsung galaxy plus while watching story and commenting at pages you must force stop it at phone settings so to proceed it never lack bugs always with bugs here or there even one page after you post it crashing completely just displaying white colours 😡😡😡 😡
40,Unfortunately I am having trouble loading this app again. Not sure what's happening but very frustrating. This app was working perfectly!
41,"Great app... And pls remove all the bugs is kinda boring if is the app is always dessapearing and appearing the ""like""- ""React"" - ""button"""
42,"After putting up with Lite for a few months I have decided to uninstall. It takes ages to open and when it can't it tells me to check, my 100% connected WFI, my WFI is turned on. Nah headache at 3am. Sorry"
43,"I don't know what you're waiting for... make the switch to save a huge amount of space and I have yet to see any difference or lacking in options, function or speed... really impressive. ✌😊"
44,"Got it. To this day, I still am surprised how anyone I talk to in person doesn't have a FB Account. Astounding to me. lol. Hey, it's always better to lead than follow someone told me for the first time way back some years ago."
45,Why I can't find the feature of adding music to my photo which I can give in the story. Only the music can be added to videos not photos.
46,"Worked fine on my ZTE K88 until today. Now, I cannot login. It says check my internet connection. I'm on wifi with a full signal."
47,after using for some days it later not showing Facebook settings ones i enter settings it will only shows profile and logout only nothing will show again help me out of this problem as soon as possible
48,"I have download this app and making my first account but name error, password error, Gmail error, phone number, error and many things more my wifi is normal. (Don't say that your wifi problem)💢"
49,New updated message section is very annyoing. Texts don't show instantly. Takes time sometimes text comes but don't show at all
50,It was just fine for last 2 or 3 months but now I don't know why i can't see photos even if I have the data and all.. Please do fix this
51,"This is one of the best chatting app I have ever used in my, it is very easy to use in finding new friend from other countries"
52,"Now FB control what video I can or can't watch. The FB Lite pop-up stupid feature ""watch more video"" & I can't watch my friend's video, no matter how I tried."
53,The app was good at first and whenever l open my account the phone freezes and at immediate spot it switches off even if l update doesn't work and the problem is not my phone but it's Facebook lite
54,Lot bug nowadays! Reaction won't show up would show blank but when tap it'll show react and showing something went wrong now alot even when log in checking other profile and even groups
55,"Why there are some new notification on the icon but there are no new notification? I double cek with browser and the result is NO NEWS notification, they are already read/open. What's happening?"
